customer_id,country,total_revenue,total_orders,avg_order_value
18102,United Kingdom,598215.22,153,3909.9
14646,Netherlands,523342.07,164,3191.11
14156,EIRE,296564.69,202,1468.14
14911,EIRE,270248.53,510,529.9
17450,United Kingdom,233579.39,61,3829.17
13694,United Kingdom,190825.52,164,1163.57
17511,United Kingdom,171885.98,85,2022.19
12415,Australia,143269.29,33,4341.49
16684,United Kingdom,141502.25,65,2176.96
15061,United Kingdom,136391.48,138,988.34
15311,United Kingdom,113513.07,270,420.42
13089,United Kingdom,113214.19,247,458.36
17949,United Kingdom,98895.59,138,716.63
16029,United Kingdom,91800.91,125,734.41
14298,United Kingdom,90489.31,84,1077.25
15769,United Kingdom,84269.38,51,1652.34
13798,United Kingdom,73573.47,125,588.59
15838,United Kingdom,73404.11,38,1931.69
12931,United Kingdom,71299.67,71,1004.22
17841,United Kingdom,69516.19,289,240.54
14088,United Kingdom,62400.02,20,3120.0
16422,United Kingdom,61110.54,146,418.57
13081,United Kingdom,58328.15,44,1325.64
14096,United Kingdom,57120.91,34,1680.03
16754,United Kingdom,56560.58,35,1616.02
13777,United Kingdom,56016.57,73,767.35
17850,United Kingdom,55703.13,159,350.33
14680,United Kingdom,54801.34,87,629.9
17389,United Kingdom,54587.03,77,708.92
13093,United Kingdom,54073.73,88,614.47
16013,United Kingdom,52788.92,94,561.58
13408,United Kingdom,50852.85,135,376.69
12748,United Kingdom,49970.13,365,136.9
17404,Sweden,46006.82,28,1643.1
13881,United Kingdom,44392.5,51,870.44
16705,United Kingdom,42653.14,61,699.23
17381,United Kingdom,39999.19,39,1025.62
15039,United Kingdom,39742.99,107,371.43
16210,United Kingdom,38304.06,37,1035.24
14031,United Kingdom,38025.97,55,691.38
12471,Germany,37948.61,129,294.18
17675,United Kingdom,37605.84,90,417.84
17677,United Kingdom,35866.63,91,394.14
13767,United Kingdom,35115.68,96,365.79
12921,United Kingdom,34639.45,103,336.31
12678,France,33851.13,23,1471.79
15856,United Kingdom,33817.44,58,583.06
16779,United Kingdom,32981.61,62,531.96
17428,United Kingdom,31238.06,51,612.51
14258,United Kingdom,31027.35,32,969.6
12681,France,30551.76,56,545.57
13902,Denmark,30411.26,8,3801.41
12709,Germany,30312.61,55,551.14
14606,United Kingdom,30094.38,259,116.19
13078,United Kingdom,28883.83,95,304.04
13098,United Kingdom,28658.88,41,699.0
17857,United Kingdom,28566.54,26,1098.71
15513,United Kingdom,27264.45,41,664.99
17940,United Kingdom,26960.02,22,1225.46
16333,United Kingdom,26626.8,22,1210.31
18251,United Kingdom,26278.86,9,2919.87
14527,United Kingdom,25774.54,190,135.66
12731,France,25673.21,19,1351.22
17865,United Kingdom,25649.05,62,413.69
13802,United Kingdom,25491.56,24,1062.15
14062,United Kingdom,25434.83,27,942.03
12939,United Kingdom,25264.8,20,1263.24
12621,Germany,24579.31,44,558.62
17920,United Kingdom,24509.91,56,437.68
14895,United Kingdom,24488.82,48,510.18
13001,United Kingdom,24136.05,37,652.33
12682,France,23945.81,53,451.81
15498,United Kingdom,23860.81,55,433.83
15640,United Kingdom,23835.41,34,701.04
16525,United Kingdom,23350.74,54,432.42
12409,Switzerland,23090.47,13,1776.19
16133,United Kingdom,22228.88,78,284.99
12540,Spain,22107.29,36,614.09
14051,United Kingdom,22104.5,42,526.3
13340,United Kingdom,22100.56,12,1841.71
15159,United Kingdom,22049.4,38,580.25
12482,Sweden,21893.53,32,684.17
14667,United Kingdom,21720.59,61,356.08
13319,United Kingdom,21706.09,78,278.28
15749,United Kingdom,21535.9,4,5383.98
17340,United Kingdom,21411.64,30,713.72
15615,United Kingdom,21282.07,54,394.11
12753,Japan,21024.01,11,1911.27
16839,United Kingdom,20968.27,51,411.14
17243,United Kingdom,20709.21,80,258.87
14866,United Kingdom,20657.77,20,1032.89
12433,Norway,20428.86,11,1857.17
12477,Germany,20173.64,12,1681.14
15251,United Kingdom,20095.6,31,648.25
18008,United Kingdom,19787.13,23,860.31
17706,United Kingdom,19543.9,43,454.51
16843,United Kingdom,19528.78,38,513.92
17139,United Kingdom,19491.61,29,672.12
14607,United Kingdom,18745.56,27,694.28
12557,Spain,18716.14,8,2339.52
14194,United Kingdom,18442.87,54,341.53
12357,Switzerland,18287.66,3,6095.89
15808,United Kingdom,18248.83,24,760.37
17581,United Kingdom,18247.47,53,344.29
16746,United Kingdom,18031.85,46,392.0
17377,United Kingdom,17851.41,91,196.17
12647,Germany,17682.79,45,392.95
15078,United Kingdom,17576.52,64,274.63
16652,United Kingdom,17312.83,24,721.37
18172,United Kingdom,17301.83,63,274.63
14952,United Kingdom,17244.25,43,401.03
17416,United Kingdom,17221.47,25,688.86
15523,United Kingdom,17220.04,18,956.67
17735,United Kingdom,17162.58,29,591.81
13027,United Kingdom,17148.0,23,745.57
15189,United Kingdom,17101.13,58,294.85
12472,Germany,16956.69,37,458.29
15358,United Kingdom,16837.35,55,306.13
16019,United Kingdom,16640.15,35,475.43
13113,United Kingdom,16600.25,60,276.67
16553,United Kingdom,16555.87,36,459.89
13199,United Kingdom,16404.98,69,237.75
14961,United Kingdom,16328.9,28,583.18
16656,United Kingdom,16307.72,44,370.63
12901,United Kingdom,16293.1,36,452.59
18092,United Kingdom,16173.19,20,808.66
16180,United Kingdom,16170.27,16,1010.64
15125,United Kingdom,16124.33,36,447.9
14733,United Kingdom,16050.6,18,891.7
12980,United Kingdom,15909.39,26,611.9
13225,United Kingdom,15879.27,17,934.07
15044,United Kingdom,15841.53,47,337.05
13564,United Kingdom,15786.72,54,292.35
14769,United Kingdom,15696.67,21,747.46
17716,United Kingdom,15671.32,27,580.42
17107,United Kingdom,15616.82,13,1201.29
15768,United Kingdom,15559.46,36,432.21
14849,United Kingdom,15542.44,50,310.85
13488,United Kingdom,15513.73,29,534.96
12971,United Kingdom,15482.74,120,129.02
12949,United Kingdom,15391.0,28,549.68
16191,United Kingdom,15162.12,40,379.05
15601,United Kingdom,14919.22,35,426.26
16126,United Kingdom,14646.8,15,976.45
16873,United Kingdom,14547.03,17,855.71
18087,United Kingdom,14411.62,21,686.27
16713,United Kingdom,14380.54,41,350.74
12583,France,14344.9,31,462.74
12714,France,14093.71,12,1174.48
13178,United Kingdom,13997.89,25,559.92
12435,Denmark,13925.93,6,2320.99
17589,United Kingdom,13904.82,21,662.13
13090,United Kingdom,13771.28,30,459.04
15005,United Kingdom,13763.27,76,181.1
16558,United Kingdom,13718.96,47,291.89
12476,Germany,13715.62,38,360.94
15093,United Kingdom,13657.88,34,401.7
15382,United Kingdom,13646.5,20,682.33
18223,United Kingdom,13497.58,52,259.57
15291,United Kingdom,13451.24,53,253.8
12567,France,13393.82,17,787.87
13629,United Kingdom,13370.86,19,703.73
15738,United Kingdom,13342.12,45,296.49
15032,United Kingdom,13285.65,10,1328.57
13969,United Kingdom,13212.77,39,338.79
16549,United Kingdom,13159.64,37,355.67
12744,Singapore,13158.16,14,939.87
13468,United Kingdom,13091.61,87,150.48
14049,United Kingdom,13064.03,18,725.78
17133,United Kingdom,12972.09,13,997.85
14110,United Kingdom,12957.6,35,370.22
13316,United Kingdom,12906.93,12,1075.58
13097,United Kingdom,12861.73,40,321.54
12989,United Kingdom,12846.8,39,329.41
14299,United Kingdom,12827.77,41,312.87
16923,United Kingdom,12793.38,41,312.03
13952,United Kingdom,12790.89,17,752.41
13668,United Kingdom,12749.14,47,271.26
17858,United Kingdom,12723.3,32,397.6
18225,United Kingdom,12650.91,34,372.09
13013,United Kingdom,12601.82,31,406.51
12451,Switzerland,12546.53,10,1254.65
16814,United Kingdom,12491.21,37,337.6
14040,United Kingdom,12457.84,42,296.62
16161,United Kingdom,12448.96,57,218.4
12683,France,12418.6,27,459.95
12437,France,12394.85,47,263.72
16000,United Kingdom,12393.7,3,4131.23
14936,Channel Islands,12378.46,14,884.18
14739,United Kingdom,12269.57,28,438.2
15465,United Kingdom,12226.15,39,313.49
12481,Germany,12217.03,18,678.72
14543,United Kingdom,12194.01,50,243.88
15194,United Kingdom,12187.68,39,312.5
13854,United Kingdom,12158.21,45,270.18
15023,United Kingdom,12092.19,23,525.75
17338,United Kingdom,12036.57,20,601.83
15144,United Kingdom,12006.51,33,363.83
12474,Germany,11966.45,54,221.6
13418,United Kingdom,11916.16,37,322.06
14415,United Kingdom,11915.13,32,372.35
