cohort_month,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2009-12,1.0,0.375,0.343,0.428,0.392,0.39,0.39,0.358,0.34,0.375,0.433,0.496,0.37,0.292,0.256,0.305,0.261,0.302,0.29,0.275,0.262,0.318,0.305,0.409,0.209
2010-01,1.0,0.218,0.302,0.305,0.279,0.292,0.266,0.231,0.289,0.34,0.31,0.165,0.206,0.168,0.18,0.152,0.218,0.188,0.175,0.185,0.236,0.185,0.223,0.074,
2010-02,1.0,0.3,0.226,0.303,0.256,0.209,0.218,0.284,0.275,0.292,0.132,0.129,0.152,0.193,0.135,0.204,0.185,0.168,0.146,0.234,0.248,0.171,0.063,,
2010-03,1.0,0.218,0.259,0.236,0.229,0.2,0.241,0.298,0.289,0.115,0.115,0.142,0.193,0.165,0.19,0.17,0.174,0.158,0.17,0.204,0.213,0.076,,,
2010-04,1.0,0.23,0.199,0.162,0.186,0.23,0.271,0.261,0.113,0.117,0.082,0.144,0.137,0.162,0.158,0.148,0.141,0.141,0.172,0.21,0.065,,,,
2010-05,1.0,0.193,0.177,0.193,0.189,0.26,0.22,0.13,0.067,0.087,0.122,0.138,0.15,0.161,0.106,0.13,0.142,0.165,0.157,0.047,,,,,
2010-06,1.0,0.216,0.197,0.204,0.23,0.283,0.13,0.093,0.082,0.119,0.104,0.141,0.156,0.13,0.112,0.123,0.138,0.204,0.059,,,,,,
2010-07,1.0,0.208,0.202,0.284,0.301,0.153,0.115,0.153,0.142,0.12,0.137,0.158,0.137,0.142,0.202,0.175,0.246,0.093,,,,,,,
2010-08,1.0,0.247,0.316,0.323,0.184,0.133,0.101,0.139,0.146,0.133,0.139,0.127,0.171,0.203,0.184,0.203,0.07,,,,,,,,
2010-09,1.0,0.302,0.26,0.14,0.091,0.103,0.14,0.099,0.124,0.14,0.128,0.103,0.215,0.178,0.178,0.054,,,,,,,,,
2010-10,1.0,0.296,0.161,0.129,0.092,0.09,0.135,0.142,0.113,0.092,0.108,0.129,0.193,0.232,0.079,,,,,,,,,,
2010-11,1.0,0.211,0.096,0.106,0.093,0.093,0.137,0.109,0.087,0.09,0.115,0.149,0.264,0.078,,,,,,,,,,,
2010-12,1.0,0.117,0.052,0.091,0.117,0.078,0.052,0.091,0.065,0.026,0.091,0.195,0.039,,,,,,,,,,,,
2011-01,1.0,0.211,0.211,0.197,0.211,0.155,0.155,0.127,0.113,0.239,0.254,0.113,,,,,,,,,,,,,
2011-02,1.0,0.203,0.171,0.187,0.22,0.154,0.171,0.154,0.163,0.195,0.081,,,,,,,,,,,,,,
2011-03,1.0,0.242,0.242,0.225,0.225,0.169,0.219,0.225,0.253,0.096,,,,,,,,,,,,,,,
2011-04,1.0,0.267,0.21,0.2,0.2,0.248,0.2,0.257,0.124,,,,,,,,,,,,,,,,
2011-05,1.0,0.269,0.25,0.176,0.222,0.213,0.259,0.111,,,,,,,,,,,,,,,,,
2011-06,1.0,0.269,0.222,0.278,0.222,0.287,0.102,,,,,,,,,,,,,,,,,,
2011-07,1.0,0.235,0.304,0.294,0.353,0.157,,,,,,,,,,,,,,,,,,,
2011-08,1.0,0.33,0.311,0.274,0.189,,,,,,,,,,,,,,,,,,,,
2011-09,1.0,0.342,0.39,0.16,,,,,,,,,,,,,,,,,,,,,
2011-10,1.0,0.335,0.176,,,,,,,,,,,,,,,,,,,,,,
2011-11,1.0,0.172,,,,,,,,,,,,,,,,,,,,,,,
2011-12,1.0,,,,,,,,,,,,,,,,,,,,,,,,
