stock_code,description,total_units_sold,total_revenue
22423,REGENCY CAKESTAND 3 TIER,23446,269736.7
85123A,CREAM HANGING HEART T-LIGHT HOLDER,90065,242855.86
85099B,JUMBO BAG RED RETROSPOT,93766,168440.36
84879,ASSORTED COLOUR BIRD ORNAMENT,79434,126354.18
POST,POSTAGE,5078,112249.1
47566,PARTY BUNTING,23335,102686.23
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,29001,78366.93
79321,CHILLI LIGHTS,15591,72229.34
22386,JUMBO BAG PINK POLKADOT,37230,67574.16
21137,BLACK RECORD COVER FRAME,19606,67127.15
48138,DOORMAT UNION FLAG,9923,64614.57
85099F,JUMBO BAG STRAWBERRY,35815,64089.41
20685,DOORMAT RED RETROSPOT,9453,61188.65
82484,WOOD BLACK BOARD ANT WHITE FINISH,10844,60188.09
20725,LUNCH BAG RED RETROSPOT,37406,58925.9
22197,POPCORN HOLDER,77162,58481.12
84347,ROTATING SILVER ANGELS T-LIGHT HLDR,10768,57195.97
22502,PICNIC BASKET WICKER SMALL,3043,54589.65
21621,VINTAGE UNION JACK BUNTING,6478,54271.12
21843,RED RETROSPOT CAKE STAND,5294,54257.44
15056N,EDWARDIAN PARASOL NATURAL,10884,53972.31
85099C,JUMBO  BAG BAROQUE BLACK WHITE,29134,52597.46
22189,CREAM HEART CARD HOLDER,18070,52458.56
23084,RABBIT NIGHT LIGHT,27094,51137.8
22470,HEART OF WICKER LARGE,17470,51128.98
21623,VINTAGE UNION JACK MEMOBOARD,7102,50966.42
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,18117,49888.53
21733,RED HANGING HEART T-LIGHT HOLDER,17225,48923.35
21181,PLEASE ONE PERSON METAL SIGN,24399,48338.1
21931,JUMBO STORAGE BAG SUKI,25849,47545.17
22112,CHOCOLATE HOT WATER BOTTLE,10218,47072.36
22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,16845,46051.47
22139,RETROSPOT TEA SET CERAMIC 11 PC ,9634,45718.55
15056BL,EDWARDIAN PARASOL BLACK,9275,45604.87
48194,DOORMAT HEARTS,7531,45418.01
22178,VICTORIAN GLASS HANGING T-LIGHT,36842,45190.22
22411,JUMBO SHOPPER VINTAGE RED PAISLEY,24261,45016.51
48187,DOORMAT NEW ENGLAND,7193,44672.39
22469,HEART OF WICKER SMALL,26900,44594.85
21754,HOME BUILDING BLOCK WORD,7438,43659.66
21212,PACK OF 72 RETROSPOT CAKE CASES,90249,43570.48
22111,SCOTTIE DOG HOT WATER BOTTLE,9270,43431.4
21929,JUMBO BAG PINK VINTAGE PAISLEY,24159,43399.91
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,23323,41804.34
21523,DOORMAT FANCY FONT HOME SWEET HOME,6663,41644.13
21731,RED TOADSTOOL LED NIGHT LIGHT,26889,41475.61
21915,RED  HARMONICA IN BOX ,36217,40953.65
22326,ROUND SNACK BOXES SET OF4 WOODLAND ,14863,40907.17
21232,STRAWBERRY CERAMIC TRINKET POT,34814,40884.69
22457,NATURAL SLATE HEART CHALKBOARD ,14396,40879.12
22090,PAPER BUNTING RETROSPOT,14860,40663.04
82494L,WOODEN FRAME ANTIQUE WHITE ,14244,39667.37
22138,BAKING SET 9 PIECE RETROSPOT ,8191,39092.21
20727,LUNCH BAG  BLACK SKULL.,24619,38823.75
21175,GIN AND TONIC DIET METAL SIGN,18397,38706.26
22383,LUNCH BAG SUKI DESIGN ,24084,38363.4
84997D,CHILDRENS CUTLERY POLKADOT PINK,10330,38256.12
71477,COLOURED GLASS STAR T-LIGHT HOLDER,12912,37860.5
84946,ANTIQUE SILVER T-LIGHT GLASS,32028,37288.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,4681,36890.43
22629,SPACEBOY LUNCH BOX ,20590,36736.44
82482,WOODEN PICTURE FRAME WHITE FINISH,15459,36611.45
23203,JUMBO BAG VINTAGE DOILY ,18926,36607.98
21166,COOK WITH WINE METAL SIGN ,19274,36418.31
22328,ROUND SNACK BOXES SET OF 4 FRUITS ,13411,36408.09
23298,SPOTTY BUNTING,7675,35691.14
22114,HOT WATER BOTTLE TEA AND SYMPATHY,9153,35654.07
